time_str,time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,weather_code,cloud_cover,wind_speed_10m,wind_direction_10m,shortwave_radiation_instant,is_day
2024-01-01 08:00:00,1704038400,13.4,72,11.8,0.0,3,100,8.1,58,0.0,0
2024-01-01 09:00:00,1704042000,12.8,72,11.2,0.0,3,93,7.0,55,0.0,0
2024-01-01 10:00:00,1704045600,12.3,69,10.6,0.0,3,100,5.7,55,0.0,0
2024-01-01 11:00:00,1704049200,11.2,70,9.7,0.0,3,100,4.1,52,0.0,0
2024-01-01 12:00:00,1704052800,10.7,72,9.1,0.0,2,65,3.6,53,0.0,0
2024-01-01 13:00:00,1704056400,9.3,79,7.5,0.0,0,5,5.5,67,0.0,0
2024-01-01 14:00:00,1704060000,9.3,76,7.5,0.0,0,2,4.8,77,0.0,0
2024-01-01 15:00:00,1704063600,9.3,76,7.6,0.0,0,6,4.4,81,0.0,1
2024-01-01 16:00:00,1704067200,9.9,74,8.2,0.0,0,8,4.0,85,138.8,1
2024-01-01 17:00:00,1704070800,11.5,67,9.5,0.0,0,7,6.3,77,320.2,1
2024-01-01 18:00:00,1704074400,12.7,62,10.7,0.0,0,11,6.1,87,474.2,1
2024-01-01 19:00:00,1704078000,13.9,57,11.7,0.0,0,9,7.6,93,592.8,1
2024-01-01 20:00:00,1704081600,15.0,53,13.0,0.0,0,13,9.4,97,645.1,1
2024-01-01 21:00:00,1704085200,15.3,51,12.7,0.0,0,12,12.0,99,602.8,1
2024-01-01 22:00:00,1704088800,15.2,49,12.1,0.0,0,15,13.2,101,535.5,1
2024-01-01 23:00:00,1704092400,14.5,50,11.3,0.0,0,4,12.8,100,384.7,1
2024-01-02 00:00:00,1704096000,13.4,55,10.5,0.0,0,0,11.4,103,218.4,1
2024-01-02 01:00:00,1704099600,12.0,64,9.6,0.0,0,0,8.6,105,42.8,1
2024-01-02 02:00:00,1704103200,10.2,76,8.6,0.0,0,0,4.6,108,0.0,0
2024-01-02 03:00:00,1704106800,9.3,80,7.6,0.0,0,0,5.5,101,0.0,0
2024-01-02 04:00:00,1704110400,10.4,73,9.0,0.0,0,2,2.8,50,0.0,0
2024-01-02 05:00:00,1704114000,11.0,73,9.8,0.0,0,2,2.1,31,0.0,0
2024-01-02 06:00:00,1704117600,10.6,76,9.4,0.0,0,3,2.4,27,0.0,0
2024-01-02 07:00:00,1704121200,10.1,81,9.0,0.0,0,4,2.2,9,0.0,0
2024-01-02 08:00:00,1704124800,9.2,88,8.2,0.0,0,11,2.6,344,0.0,0
2024-01-02 09:00:00,1704128400,7.5,99,6.3,0.0,0,17,4.1,322,0.0,0
2024-01-02 10:00:00,1704132000,6.4,100,4.6,0.0,3,97,6.4,317,0.0,0
2024-01-02 11:00:00,1704135600,5.7,100,3.6,0.0,1,21,7.1,311,0.0,0
2024-01-02 12:00:00,1704139200,5.4,99,3.2,0.0,0,15,6.9,309,0.0,0
2024-01-02 13:00:00,1704142800,5.4,95,3.1,0.0,0,6,6.9,309,0.0,0
2024-01-02 14:00:00,1704146400,6.7,93,4.7,0.0,0,2,6.3,301,0.0,0
2024-01-02 15:00:00,1704150000,5.9,94,3.6,0.0,0,1,7.2,297,0.0,1
